RECORD TYPE,PURCHASE ORDER NUMBER,ITEM NUMBER,ITEM DESCRIPTION,ITEM UNIT COST,ITEM QUANTITY ORDERED,ITEM UNIT OF MEASURE,ITEM TOTAL COST,UNIQUE ID
D,PO110826,8,RETURN RAIL 25 SSXC8917 (SPARES),729,3,EA,2187,PO1108260008
D,PO110819,1,NEW REPLACEMENT PUMP TO COMPLY WITH DEQ. MOYNO    PUMP ONLY #2F036 G1 CDQ. THIS IS AN EMERGENCY     REPAIR.                                                                                               RQ030842,10962,1,EA,10962,PO1108190001
D,PO110821,1,REPLACE AIR & HEAT UNIT AT ADMIN BUILDING:         TAGS: RTU-T 3010 TON R410A RDGD UTILITY           GAS/ELECTRIC MODEL NUMBER YSC036ELA,2852,1,EA,2852,PO1108210001
D,PO110823,1,COUSTOMER SUBSIDY COMPOST BINS & RIMS              BARREL SALE 6/25/11,15000,1,JB,15000,PO1108230001
D,PO110826,1,PARTS FOR E-1009 FORCE MAIN CONVEYOR                                                                  DODGE DRIVE TXT5 CLASS 2,3718,1,EA,3718,PO1108260001
D,PO110826,2,FLIGHT POLY WS124 SF XC8737,27,40,EA,1080,PO1108260002
D,PO110826,3,KM CHAIN ASSY. 25 WS124SS XC8736,1900,9,EA,17100,PO1108260003
D,PO110826,4,RETURN RAIL 25 SSXC8917,729,3,EA,2187,PO1108260004
D,PO110826,5,SHRT RETURN RAIL 25SS XC8918 SECT,226,1,EA,226,PO1108260005
D,PO110826,6,KM HEAD ASSY 25262-15 CBS SSXC8935,7200,1,EA,7200,PO1108260006
D,PO110826,7,KM CHAIN ASSY. 25 WS124SS XC8736 (SPARES),1900,9,EA,17100,PO1108260007
D,PO110826,9,SHRT RETURN RAIL 25SS XC8918 SECT (SPARES),226,1,EA,226,PO1108260009
D,PO110826,10,HEAD RETURN RAIL 25 SS XC8958 (SPARES),106,2,EA,212,PO1108260010
D,PO110826,11,FREIGHT                                            RQ030735,1885,1,JB,1885,PO1108260011
D,PO110827,1,TURNBUCKLE'S FOR GUY AND TIE RODS 304 SS WITH     6 FT AND RIGH HANDED BRACKETS PARTS                #41AD5006-02                                                                                          RQ030770,488,12,EA,5856,PO1108270001
D,PO110830,4,"KEY RING; 1"" SILVER RING WITH ATTACHED 2"" RED SEE  THRU PLASTIC TAG WHITE EBRMARC LOGO WITH          LETTERING ON ONE SIDE OF TAG",0.32,4000,EA,1280,PO1108300004
D,PO110830,5,"KEY TAG; THERMOMETER CLEAR ACRYLIC 2"" IN LENGTH   WITH A THERMOMETER IN CENTIGRAD AND FAHRENHEIT ON  THE LEFT SIDE; IMPRINT ON FRONT SIDE OF            THERMOMETER IMPRINT COLOR; RED IMPRINT ON 4 LINES TO READ: 1ST LINE: EAST BATON ROUGE PARISH; 2ND",0.65,4000,EA,2600,PO1108300005
D,PO110830,7,"PENCIL BAG; 9"" X 6 1/2"" CLEAR PLASTIC WITH RED     ZIPPER AT THE TOP OF BAG. RED EBRMARC LOGO IN THE  MIDDLE. BAG HAS THREE NOTEBOOK HOLES AT THE        BOTTOM.",0.58,4000,EA,2320,PO1108300007
D,PO110830,8,"RULER; 5"" MAGNIFYING WHITE IN COLOR WITH 3""       PLASTIC MAGNIFIER ON THE RIGHT SIDE. AGENCY LOGO & AGENCY NAME WITH WORDING ""PLEASE DUMP THE WATER""   ON THE LEFT SIDE; RULER WILL HAVE 5"" GRADUATIONS   AT THE BOTTOM OF THE RULER IN BLACK.",0.69,4000,EA,2760,PO1108300008
D,PO110830,9,"CRAYONS; 4"" CRAYONS 4 TO EACH BOX COLORS: RED   GREEN BLUE & YELLOW. EMBLEM AND IMPRINT ON BACK   OF BOX. EMBLEM AND IMPRINT IS PRINTED IN RED.      IMPRINT TO BE ON 4 LINES; 1ST LINE: EAST BATON     ROUGE; 2ND LINE: MOSQUITO ABATEMENT; 3RD LINE: AND",0.34,4000,EA,1360,PO1108300009
D,PO110830,15,"PEN; RED BALL POINT; WHITE TOP & BOTTOM; PEN       DIAMETER 5/16"". IMPRINT COLOR: WHITE; LETTER SIZE: 1/16""; IMPRINT TO READ: 1ST LINE: EAST BATON ROUGE PARISH; 2ND LINE: MOSQUITO ABATEMENT; 3RD LINE: &  RODENT CONTROL; 4TH: 225-3569-3297",0.32,4000,EA,1260,PO1108300015
D,PO110830,17,"BADGE; POLICE; GOLD & BLACK PAPER STICK ON SIZE;   3"" X 3 1/4"" ON A ROLL OF 6000. ACROSS THE MIDDLE   OF BADGE IN CAPITAL LETTERS SIZE 4/16' IS EBRMARC ABOVE IN CAPITAL SMALLER LETTERS IS THE WORD       ""JUNIOR"" BELOW THE MIDDLE OF THE BADGE IN",261,2,RL,522,PO1108300017
D,PO110831,1,PELCO DX/4616 DIGITAL VIDEO RECORDER W/ 16 CAMERA  INPUTS AND 500 GB STORAGE.  MUST BE PELCO          RECORDER FOR DIRECT REPLACEMENT AND LINK ABILITY.,2996,1,EA,2996,PO1108310001
D,PO110832,1,ESPION INTERCEPTOR I1000 ANNUAL SOFTWARE           MAINTENANCE AND PRODUCT SUPPORT CONTRACT           EXTENSION FOR ANTI-SPAM FILTERING FOR THE PERIOD   4/11/2011 TO 4/11/2012                             SUPPORT VIA TELEPHONE FAX AND EMAIL,1595,1,EA,1595,PO1108320001
D,PO110834,1,PROFESSIONAL SERVICES CONTRACT TO ASSIST THE WIA   YOUTH PROGRAM WITH NEW RFP PROCESS AND PLANNING    PROCESS.,10204,1,JB,10204,PO1108340001
D,PO110834,2,*********CHANGE ORDER NO. 1*********************** TRANSFER FUNDS ACCOUNT #161.6055026.643550.0550210 DEDUCT: $5102.12 FROM THE ABOVE ACCOUNTING.,0,1,JB,0,PO1108340002
D,PO110834,3,*********CHANGE ORDER NO. 1*********************** TRANSFER FUNDS ACCOUNT #161.6055026.643550.0550210 ADD: $5102.12 TO THE ABOVE ACCOUNT.,5102.12,1,JB,5102.12,PO1108340003
D,PO110835,1,TO FURNISH LABOR MATERIALS TOOLS SCAFOLDING    EQUIPMENT WAREHOUSING AND SUPERVISION NECESSARY  TO ERECT AND DISMANTLE SCAFFOLDING IN ACCORDANCE   WITH OSHA RULES AND REGULATIONS. VENDOR TO ERECT   AND DISMANTLE (2) SCAFFOLDS -70' LONG X 21',3727,1,JB,3727,PO1108350001
D,PO110839,1,HABA PETER PAN DISPLAY (POSTER DISPLAY BOARD).     THE LIBRARY STORE ITEM NO. 88-0069,262.76,12,JB,3153.12,PO1108390001
D,PO110839,2,SHIPPING.,298.6,1,JB,298.6,PO1108390002
D,PO110842,1,COMPUTERS; DESKTOP DELL OPTIPLEX 790.             STATE CONTRACT 403834                              EQUOTE 587191091,964.03,6,EA,5784.18,PO1108420001
D,PO110845,1,2011 FORD EXPEDITION XL MODEL #XL/100A PER CITY   OF ALEXANDRIA CONTRACT #1827 LINE #15 $25796.00 ADD UPGRADES: LINE #15D ADD FOLD FLAT THIRD SEAT  $844.00 CODE T ADD SYNC/91M-HANDS FREE PHONE      $336.00 DEQ TIRE FEE $8.00 COLOR: EXTERIOR,26984,2,EA,53968,PO1108450001
D,PO110844,3,MAIL BIN: PRICE EACH IS $16.00 PER MONTH.          REFER TO LINE 42.                                  LOCAL VENDOR TO CONTACT MARY WALSH AT 389-3839     TO SCHEDULE DELIVERY.,32,6,MO,192,PO1108440003
D,PO110847,1,COMMVAULT MASTER SERVER: COMMSERV KIT AGENCY TO   INSTALL DELL ITEM 421-4235. REFER TO DELL QUOTE   587314614 AND STATE CONTRACT 403834 LINE 1.        PRICE AND DELIVERY CONFIRMED BY PHILLIP DOMINGUE   6/10/11.,1235.5,1,EA,1235.5,PO1108470001
D,PO110847,2,COMMVAULT MEDIA SERVER: INCL CLIENT AGENT AGENCY  TO INSTALL. DELL 421-4274.,2436.7,1,EA,2436.7,PO1108470002
D,PO110847,3,COMMVAULT CLIENT AGENT: FILE SYSTEM IDA OR AD     AGENT AGENCY TO INSTALL. DELL 421-4252,427.7,2,EA,855.4,PO1108470003
D,PO110847,4,COMMVAULT APP AGENT FOR WINDOWS: SQL INCL CLIENT  AGENT. DELL 421-4250,1667.4,1,EA,1667.4,PO1108470004
D,PO110879,1,IN GROUND TERMINATION BOX                          PG4872BA36,1345,6,EA,8070,PO1108790001
D,PO110857,1,SADDLE FINISHER FOR CANON MODEL IR3245 COPIER.     LINE ITEM #19.  STATE CONTRACT #408485.,1479,1,EA,1479,PO1108570001
D,PO110859,1,PROVIDE ALL SUPERVISED LABOR MATERIAL TOOLING    AND INSURANCE TO REPLACE THE CONTACTORS WITH       VFD'S AND ADD BRAKE CONTACTORS.                    10 TON YALE - MODEL #DEW10-46ST 15/5D4             RQ030734,4155.48,1,JB,4155.48,PO1108590001
D,PO110860,1,13 PERFORMANCES OF FARMER MINOR AND DAISY THE      READING PIG.  PERFORMANCES TO TAKE PLACE BETWEEN   JUNE 2 AND JUNE 14 2011.  PERFORMANCES ARE IN     CONJUNCTION WITH SUMMER READING PROGRAM,275,13,JB,3575,PO1108600001
D,PO110856,6,"EYEGLASS HOLDER; LANYARD 1/2"" W X 30"" LONG       WITH A 1/2"" WHITE IMPRINT: E.B.R. MISQUITO         ABATEMENT & RODENT CONTROL; BOTH ENDS MUST BE      FLEXABLE PLASTIC ADJUSTABLE EYEGLASS HOLDERS      WITH RINGS TO HOLD EYEGLASSES.",0.99,4000,EA,3960,PO1108560006
D,PO110865,1,SMART CONTROL RESOURCE MANAGER SOFTWARE FOR        LIBRARY PATRON COMPUTERS,18.7,360,EA,6732,PO1108650001
D,PO110865,2,MAINTENANCE FOR SMART CONTROL RESOURCE MANAGER     SOFTWARE,1584,1,EA,1584,PO1108650002
D,PO110866,1,FORMS; CERTIFIED MAIL FORMS.                       .                                                  FORM NO. CEL-43R REV 01/07 PER SAMPLE SUBMITTED.,0.21,7100,EA,1491,PO1108660001
D,PO110871,1,4 PERFORMANCES BY CHUCK HARRIS OF POETRY AND RAP   AT THE JUVENILE DETENTION CENTER ON JUNE 14       2011 AS PART OF THE SUMMER READING PROGRAM.,378.75,4,EA,1515,PO1108710001
D,PO110863,1,"MATTRESS; SINGLE 36"" X 80""; 6 OZ. COVER/GRAY      PINSTRIPE POLYESTER SURGE & FLANGED TOP & BOTTOM .312 COILS; 6 GUAGE BORDER ROD; 2 1/2 OZ. NATURAL FIBER INSULATOR PAD; 4 LB GARMETED COTTON FELT     UPHOLSTERY 3/4"" FOAM TOPPER.",104,185,EA,19240,PO1108630001
D,PO110874,1,VAN 15 PASSENGER FRONT AND REAR A/C WITH HEATER  ALTERNATIVE FUEL FORD E-350 COMMODITY NUMBER 070 -93-018485 CONTRACT NUMBER 408639 VENDOR NUMBER  721225245-00,22911,1,EA,22911,PO1108740001
D,PO110875,1,OJT CONTRACT TO TRAIN AND EMPLOY A FAMILY SERVICE  WORKER AND AND OFFICE MANAGER.PER WRITTEN CONTRACT,20500,1,JB,20500,PO1108750001
D,PO110875,2,*************CHANGE ORDER NO. 1******************  REDUCE THE CONTRACT TO $9667.20 PER AGENCY        REQUEST.,0,1,JB,0,PO1108750002
D,PO110875,3,******INTERNAL CHANGE ORDER *********************  PER PENNY COLLINS -WIA ATTACHED E-MAIL THIS        PURCHASE ORDER IS TO BE CLOSED.,0,1,JB,0,PO1108750003
D,PO110876,1,PROVIDE MATERIALS LABOR AND INSURANCE TO REPLACE DOORS AND FRAMES TO ACHRIVES PER YOUR WRITTEN      QUOTATION. VENDOR TO CONTACT MOE SONGY AT          255-355-0333 TO SCHEDULE INSTALLATION.,2225,1,JB,2225,PO1108760001
D,PO110878,1,WIRE: SEV 666 COPPER 1000 FEET.                  .                                                  PER SPECIFICATIONS DATED JUNE 2011,1624.63,2,EA,3249.26,PO1108780001
D,PO110879,2,LOGO: HIGH VOLTAGE (LID THAT READS DANGER HIGH     VOLTAGE)                                           PG4872HH0026,2072,7,EA,14504,PO1108790002
D,PO110881,1,FUNDING TO PROVIDE FINANCIAL ASSISTANCE AND ASSIST WITH SOCIAL NEEDS FOR RESIDENTS LIVING WITH SICKLE CELL ANEMIA.,5000,1,EA,5000,PO1108810001
D,PO110884,1,OPTIPLEX 580 DESKTOP DA05 COMPUTERS               PER QUOTE # 587083443 STATE OF LA CONTRACT 403834  ATTN PHILLIP DOMINGUE,1394.24,11,EA,15336.64,PO1108840001
D,PO110886,1,BUSH HOG: SM60 WITH SIDE MOUNT CUTTER HOSE KIT   CHAIN KIT AND SIDE GAUGE WITH LAMINATED TIRES.    REFER TO STATE CONTRACT 408608 LINE 3.            *****REQUISITION RQ030722*****,7844,1,EA,7844,PO1108860001
D,PO110887,1,AUTO TURN UPGRADE FOR AUTOCAD                      ****MUST BE COMPATIABLE TO EXISTING SOFTWARE       SYSTEM WITHOUT MODIFICATION OR ALTERATIONS*****,2322,1,EA,2322,PO1108870001
D,PO110887,2,AUTO TURN MAP,760,1,EA,760,PO1108870002
D,PO110887,3,FREIGHT,40,1,JB,40,PO1108870003
D,PO110888,1,MICROSOFT ENTERPRISE AGREEMENT RENEWAL             #01E61790                                          MAY 2011 TO MAY 2012                               PER QUOTE 4384384,94366.35,1,EA,94366.35,PO1108880001
D,PO110888,2,MICROSOFT ENTERPRISE AGREEMENT                     TRUE-UP                                            MAY 2010 TO MAY 2011                               PER QUOTE 4384387,11392.16,1,EA,11392.16,PO1108880002
D,PO110895,1,PUMP; YEOMANS SERIES 9000 MODEL 6123            CENTRIGUGAL SUBMERSIBLE PUMP S/O#:267356-B.      REBUILD KIT FRAME 320TY PART # A-110037-14,1324,1,EA,1324,PO1108950001
D,PO110891,1,4 TON GAS SYSTEM COMPLETE;  5 TON GAS SYSTEM       COMPLETE;  4 TON CONDENSOR 14 SEER 410A.           REPURCHASE FROM PO101623,7830,1,EA,7830,PO1108910001
D,PO110897,1,SALES TAX STREET AND ROAD REHABILITATION PROGRAM   PROJECT 10-22                                      STREET IN SHERWOOD FOREST                          CITY PARISH PROJECT NO. 10-AO-ST-0057 PER COUNCIL  RESOLUTION NO. 48555 AND WRITTEN CONTRACT.,550287,1,JB,550287,PO1108970001
D,PO110897,2,**CHANGE ORDER NO.1 PER COUNCIL RES. NO. 48792**   ADDITIONAL FUNDS TO ADD E. ROBIN HOOD TO THE       PROJECT AND EXTEND CONTRACT TIME BY 38 DAYS. THE   ORIGINAL PO AMT WAS $550287.00. THE CHANGE ORDER  AMT $203407.30 REPRESENTS A 36% INCREASE IN THE,203407.3,1,JB,203407.3,PO1108970002
D,PO110897,3,**CHANGE ORDER NO.2 PER COUNCIL RES. NO. 49143**   ADDITIONAL FUNDS TO FOR ADDITIONAL ITEMS.          THE CHANGE ORDERS REPRESENTS A 42% INCREASE OF THE ORIGINAL PO AMOUNT.,25295.73,1,JB,25295.73,PO1108970003
D,PO110898,1,BRIDGE REPLACEMENT FOR BLUEGRASS DRIVE OVER        ROBERT CANAL TRIBUARY NO. 1.                       PROJECT NO. 10-BR-CI-0036                          PER COUNCIL RESOLUTION NO 48572 AND WRITTEN        CONTRACT.,152157.74,1,JB,152157.74,PO1108980001
D,PO110898,2,***************CHANGE ORDER #1*************                                                           POST CONSTRUCTION ADJUSTMENT TO FIELD QUANTITIES.  CONTRACT QUANTITIES ARE ADJUSTED TO REFLECT        AS-BUILT CONDITIONS.,2044.95,1,JB,2044.95,PO1108980002
D,PO110900,1,INSTALL EQUIPMENT ON MARKED POLICE UNITS           REFER TO ANNUAL CONTRACT A10-0165                  *****REQUISITION RQ030779*****,693,36,EA,24948,PO1109000001
D,PO110900,2,INSTALL EQUIPMENT ON UNMARKED POLICE UNITS PER     CONTRACT A10-0165.,154,2,EA,308,PO1109000002
D,PO110900,3,INSTALL EQUIPMENT ON MARKED K-9 UNITS PER CONTRACT A10-0165.                                          VENDOR TO CONTACT LT. HYDE AT 389-3208 TO          SCHEDULE INSTALLATION.,616,2,EA,1232,PO1109000003
D,PO110901,1,PARTS AND LABOR TO REFURBISH AMBULANCE MODULES AND INSTALL ON NEW CAB & CHASSIS FURNISHED BY EMS.     UNITS TO BE REFURBISHED WITHIN THE NEXT TWELVE(12) MONTHS.  PER QUOTE DATED 6/20/2011.  CHASSIS TRADE IN CREDIT $400.00 PER UNIT.,79442.49,4,EA,317769.96,PO1109010001
D,PO110901,2,**************CHANGE ORDER 1******************,0,1,EA,0,PO1109010002
D,PO110901,3,CHANGE ORDER TO ADD ADDITIONAL FUNDS TO ITEM#1.    ADDITIONAL WORK WAS DONE TO REPAIR THE UNIT BEFORE THE CHASSIS WAS ATTACHED.,690.54,1,EA,690.54,PO1109010003
D,PO110903,1,34288 ROBINAIR RECOVERY MACHINE                    *                                                  *                                                  *                                                  RQ030822,2695,1,EA,2695,PO1109030001
D,PO110904,1,REPLACEMENT SERVICES INCLUDING LABOR MATERIALS   EQUIPMENT AND SPERVISION TO REPLACE EXISTING      5 TON EUBANKS WALL MONTED PACKAGE WITH A NEW       5 TON UNIT WITH EQUIVALENT CAPABILITY              *RQ030923*,5109,1,JB,5109,PO1109040001
D,PO110909,1,Adobe InDesign CS5 v.7.5 for Windows               Full Version,659.39,2,EA,1318.78,PO1109090001
D,PO110910,1,ADV MEDICAL LIFE SUPPORT; ISBN 9780323071604       QUANTIY (25),61.93,25,EA,1548.25,PO1109100001
D,PO110910,2,PHTLS; PREHOSP TRAUM LIFE SUPPRT 7                 ISBN: 9780323065023;  QUANTITY (25),47.7,25,EA,1192.5,PO1109100002
D,PO110910,3,IER PHTLS; PREHOSP TRAUM LIFE SUPPRT 7E            ISBN: 9780323065016; QUANTITY (5),49.95,5,EA,249.75,PO1109100003
D,PO110910,4,IER FOR ADVANCED MEDICAL LIFE SUPPORT;             ISBN: 9780323071628 ; QUANTITY (5),49.95,5,EA,249.75,PO1109100004
D,PO110912,1,DIAPERS BABY DISPOSABLE INFANT 16-28 LB.        UNIXEX BREATHABLE CLOTH-LIKE OUTER COVER LEAK    PROOF ADJUSTABLE/RESEALABLE TAB. 234/CASE,47,5,CS,235,PO1109120001
D,PO110912,2,DIAPERS PULLUPS TRAINING PANTS GIRL SIZE 3T-4T   (32-40 LBS.) LEARNING DESIGN 40/CASE.,25,15,CS,375,PO1109120002
D,PO110912,3,DIAPERS PULLUPS TRAINING PANTS BOYS SIZE 3T-4T    (32-40 LBS.) LEARNING DESIGN 40/CASE.,25,15,CS,375,PO1109120003
D,PO110912,4,DIAPERS PULLUPS TRAINING PANTS GIRLS SIZE 4T-5T  (38+ LBS.) LEARNING DESIGN 33/CASE,25,15,CS,375,PO1109120004
D,PO110912,5,DIAPERS PULLUPS TRAINING PANTS BOY SIZE 4T-5T    (38+ LBS.) LEARNING DESIGN 33/CASE,25,15,CS,375,PO1109120005
D,PO110912,6,PACIFIER BPA-FREE SILICONE SHAPE OF MOTHER'S     NIPPLE FLEXIBLE SHIELD DISHWASHER SAFE 2/PACK.,6,10,PK,60,PO1109120006
D,PO110912,7,BRUSH BOTTLE SPONGE TIP EASY GRIP WITH NIPPLE   BRUSH INSIDE.,3.75,5,EA,18.75,PO1109120007
D,PO110912,8,REFILL DIAPER DEKOR PLUS LIGHTLY POWER SCENTED  CONTINUOUS ROLL CONTROL ODORS 2/PK.,22,4,PK,88,PO1109120008
D,PO110912,9,CUP NO SPILL THE FIRST YEARS TAKE AND TOSS      10 OZ. SIZE DISHWASHER-SAFE BPA FREE 4/PK.,6,3,PK,18,PO1109120009
D,PO110912,10,WIPES MOIST FRESH FLUSHABLE ALCOHOL-FREE POP-UP TUB SEWER AND SEPTIC SAFE 42 WIPES PER PACK,3,6,PK,18,PO1109120010
D,PO110912,11,SHOE COVERS BLUE DISPOSABLE ANTI SKID 100%      SPUN-BOND POLYPROPYLENE UNIVERSAL UP TO MENS      10.5 ELASTIC ANKLES 300/CASE.,27,10,CS,270,PO1109120011
D,PO110912,13,BOTTLES TINTED 8 OZ. BPA FREE RECYCLABLE       EVENFLO 3/PK.,5.98,20,PK,119.6,PO1109120013
D,PO110914,1,SQUARE D LOADCENTER                                SDQ024L70RB,35.03,15,EA,525.45,PO1109140001
D,PO110914,2,SQUARE D CIRCUIT BREAKER                           SDQ0160,8.01,20,EA,160.2,PO1109140002
D,PO110914,3,SQUARE D CIRCUIT BREAKER                           SDQ0130,6.85,20,EA,137,PO1109140003
D,PO110914,4,"1 - INCH SQUARE D ""B"" HUB FOR 1"" CONDUIT (B-100)   SDB100",6.48,20,EA,129.6,PO1109140004
D,PO110914,5,"5/8"" X 8' COPPERWELD GROUND ROD.                   GR5/8X8",10.76,20,EA,215.2,PO1109140005
D,PO110914,6,1 - INCH ALUMINUM SERVICE HEAD                     BLDEN1,2.66,25,EA,66.5,PO1109140006
D,PO110916,1,DELL 4220 42U SERVER RACK WITH DOORS SIDE PANELS AND 3 POWER DISTRIBUTION UNITS WITH CORDS.  AS PER E-QUOTE 1017541398965.,2534.37,1,EA,2534.37,PO1109160001
